factory_id,factory_name,layout_id,layout_name,canvas_width,canvas_length,scale_ratio,layout_version_id,version_number,area_id,area_name,area_pos_x,area_pos_y,area_width,area_length,line_id,line_name,line_pos_x,line_pos_y,line_width,line_length,line_type,ws_id,ws_name,ws_sequence,ws_pos_x,ws_pos_y,ws_width,ws_length,machine_id,machine_name,machine_pos_x,machine_pos_y,machine_width,machine_length,flow_id,from_ws_id,to_ws_id,arrow_type,flow_label,detail
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,1,w1,1,100,500,10,8,1,C1_Machine_1,110,510,5,4,1,1,2.0,Conveyor,Vehicle Flow,w1: Chassis base frame preparation for automobile body
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,2,w2,2,100,400,10,8,2,C1_Machine_2,110,410,5,4,2,2,3.0,Conveyor,Vehicle Flow,w2: Engine mounting preparation and alignment
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,3,w3,3,100,300,10,8,3,C1_Machine_3,110,310,5,4,3,3,4.0,Conveyor,Vehicle Flow,w3: Transmission and drivetrain assembly
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,4,w4,4,100,200,10,8,4,C1_Machine_4,110,210,5,4,4,4,5.0,Conveyor,Vehicle Flow,w4: Suspension and axle installation
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,5,w5,5,250,120,10,8,5,C1_Machine_5,260,130,5,4,5,5,6.0,Conveyor,Vehicle Flow,w5: Electrical wiring and control unit installation
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,6,w6,6,400,200,10,8,6,C1_Machine_6,410,210,5,4,6,6,7.0,Conveyor,Vehicle Flow,w6: Interior assembly and dashboard fitting
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,7,w7,7,400,300,10,8,7,C1_Machine_7,410,310,5,4,7,7,8.0,Conveyor,Vehicle Flow,w7: Exterior body panel installation
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,8,w8,8,400,400,10,8,8,C1_Machine_8,410,410,5,4,8,8,9.0,Conveyor,Vehicle Flow,w8: Painting and coating of the automobile body
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16,18,48,14,,9,w9,9,400,500,10,8,9,C1_Machine_9,410,510,5,4,9,9,,Conveyor,Vehicle Flow,w9: Final inspection and quality check
